Organic_carbon%,sand%,silt%,clay%,SCEC,porosity,sat_hydraulic_conductivity,Series_name
1,5.8,53.5,40.7,17.6,0.485,0.09,Amgaon
0.82,30.5,55.6,13.9,5.7,0.511,0.68,Amnura
1.07,40.5,45.6,13.9,10.5,0.491,0.96,Belabo
0.76,29.5,55.4,15.1,5.2,0.475,0.68,Chandra
0.92,18.9,51.9,29.2,12.6,0.48,0.15,FARABARI
0.71,28.5,61.4,10.1,6.4,0.526,0.68,Gulta
0.56,66,22.7,11.3,5.8,0.418,1.1,Salandar
0.35,46.1,48.9,5,6.6,0.45,1.1,Sandy alluvium
0.95,16.7,56.4,26.9,13.1,0.551,0.1,Sarala
0.85,12.1,40.1,47.8,23.6,0.491,0.09,Taras
1,10.7,42.6,46.7,17.2,0.505,0.09,Uttargaon
0.83,16.9,60,23.1,14.7,0.514,0.23,Charkai
1.03,14.7,54.8,30.5,10.6,0.533,0.15,Digli
0.84,12.7,68.4,18.9,6.5,0.496,0.32,Dohali
0.61,47,31,22,9,0.433,0.7,Adatala
0.55,46,32,22,14.5,0.429,0.8,Atahar
0.92,50,24,26,13,0.434,0.9,Beola
1.1,17,33,50,20,0.5,0.3,Deopara
0.35,29,35,36,18,0.453,0.4,Gopalpur
0.81,66,14,20,12,0.409,1,Noapara
1.1,12,20,68,13,0.522,0.07,Batra
1.17,17,34,49,7.5,0.497,0.09,Dhalat
1.1,9,12,79,42.2,0.58,0.06,Arial
1.1,4.1,33.8,62.1,37.6,0.55,0.06,Batra
1.1,2,40,58,35,0.55,0.07,Bera
1.1,7,46,47,15,0.486,0.09,Shilmondi
0.7,64,18,18,17,0.434,0.75,Baliadangi
0.74,68,18,14,10,0.422,0.8,Dimla
1,24,27,49,31,0.537,0.06,Alsia
0.8,47,33,20,25,0.448,0.3,Hisabia
1.1,54,23,23,12,0.47,0.43,Silaikuti
1.18,14,61,25,18,0.512,0.68,Farabari
0.6,70,14,16,12,0.443,1.1,Lakhipur
0.65,62,15,23,16,0.467,0.9,Jagdal
0.76,4,64,32,27,0.468,0.15,Tarala
0.85,18,65.6,16.4,9.7,0.53,0.32,Amgaon
1,8.3,53.5,38.2,15.5,0.492,0.15,Uttargaon
0.64,23.2,60.4,16.4,7.2,0.523,0.57,Amnura
1,45.4,36.8,17.8,12.2,0.48,0.9,Belabo
0.56,60.4,29.6,10,5.2,0.433,1.01,Birganj
0.61,26.8,61.8,11.4,7.3,0.527,0.68,Gulta
0.69,23.3,60.4,16.3,8,0.526,0.68,Lauta
0.93,27.4,52.2,20.4,12.2,0.519,0.68,Noadda
1.3,64.5,20.3,15.2,10.5,0.49,0.9,Lakhipur
0.76,17.2,65.2,17.6,7.5,0.515,0.68,Chandra
0.65,39.3,48.1,12.6,7.3,0.487,0.85,Managar
0.56,85.2,12.3,2.5,4,0.418,1.02,Dimla
