Fatalities,Injuries,Distance,Population of Municipality,Country
0,0,2.12825,6523,United States
0,0,215.44888,0,Indonesia
0,0,178.23706,33430,Canada
0,0,166.44009,33430,Canada
0,0,151.72018,1258,United States
0,0,146.31062,33430,Canada
0,0,136.65541,33430,Canada
0,0,131.60974,0,Indonesia
3,0,127.97819,47735,Indonesia
0,0,127.1628,1547,Canada
5,0,124.84253,0,Indonesia
2,0,123.43371,0,Peru
0,0,120.43866,1713,United States
0,0,119.96639,4163,Canada
0,0,119.96639,4163,Canada
0,0,119.78675,4163,Canada
20,0,115.14342,90894,Myanmar (Burma)
0,0,111.31006,90894,Myanmar (Burma)
70,100,111.28858,90894,Myanmar
0,0,110.85653,1026,Canada
2,0,110.73707,27520,Myanmar (Burma)
0,0,106.2834,1187,New Zealand
0,0,104.35225,77366,Fiji
3,0,100.58319,0,Indonesia
0,0,98.40115,0,India
0,0,98.33608,0,India
0,0,96.83548,705,Vanuatu
0,0,96.70239,3322,Malaysia
0,0,95.0457,25000,India
11,0,93.5301,0,Indonesia
3,0,93.15652,0,Indonesia
20,0,86.89138,10815,Tajikistan
0,0,85.07166,3907,Canada
0,0,84.55444,14596,Fiji
0,0,83.92719,8360,Fiji
0,0,83.81164,1495,India
0,0,82.91571,1495,India
4,0,82.39467,0,China
0,0,82.22631,5985,Australia
0,0,80.51285,228212,Malaysia
0,0,80.43471,228212,Malaysia
0,0,80.32492,33430,Canada
0,0,79.77706,3907,Canada
0,0,78.0422,27949,Fiji
0,0,76.97209,2624,Iceland
0,0,76.30415,15771,Malaysia
0,0,74.22658,4428,New Zealand
2,0,73.65023,4428,New Zealand
0,0,72.6468,9520,United States
0,0,72.22765,0,China
0,0,72.06392,198239,Malaysia
0,0,72.0353,0,China
0,0,72.0353,0,China
0,0,71.98423,228212,Malaysia
0,0,71.4959,1347,United States
0,0,70.98718,126938,Myanmar (Burma)
24,0,70.89317,90894,Myanmar (Burma)
0,0,70.82902,9577,United States
0,0,70.56602,0,China
0,0,70.56602,0,China
0,0,70.25508,1347,United States
0,0,69.96192,1347,United States
0,0,69.96192,1347,United States
0,0,69.92219,37475,India
0,0,68.59272,1706,Canada
0,0,68.54951,4348,United States
7,0,68.34443,2100,Pakistan
0,0,67.58127,1270,United States
0,0,67.49967,7312,Canada
9,0,67.47257,47778,Indonesia
42,0,67.34588,351936,China
0,0,67.11064,401,United States
0,0,66.76148,14927,India
1,0,66.45854,0,Indonesia
0,0,66.13596,2564,Australia
0,0,66.07162,9520,United States
0,0,65.92069,5571,Canada
0,0,65.47485,0,China
0,0,65.29943,570407,Malaysia
0,0,64.74594,9520,United States
0,0,64.02724,56859,Argentina
0,0,63.81953,10442,New Zealand
0,0,63.47818,7121,India
0,0,62.86592,9073,Nepal
0,0,62.40501,14927,India
0,0,62.26908,9813,Canada
3,0,61.88623,9073,Nepal
0,0,61.80149,198239,Malaysia
3,0,61.75306,48901,Brazil
0,0,61.58495,282431,Indonesia
0,0,61.46874,1706,Canada
0,0,61.30122,75996,New Zealand
0,0,61.21328,14596,Fiji
5,0,61.01695,23416,Nepal
0,0,60.8421,7121,India
0,0,60.78938,19294,Malaysia
0,0,60.73492,10442,New Zealand
0,0,60.49993,0,China
1,0,60.47069,9073,Nepal
0,0,60.26228,77366,Fiji
5,0,60.02544,91136,China
5,0,59.99456,91136,China
0,0,59.90474,57342,Myanmar (Burma)
0,0,59.1509,1347,United States
0,0,58.93051,61696,New Zealand
12,0,58.84724,13893,India
7,0,58.78543,0,Uganda
3,0,58.68817,9073,Nepal
0,0,58.65704,2564,Australia
1,0,58.63636,1464,Nepal
0,0,58.34526,0,India
0,0,57.69671,14596,Fiji
0,0,57.67771,3112,United States
0,0,57.4808,0,Kyrgyzstan
0,0,57.40674,2868,United States
0,0,56.98472,61696,New Zealand
4,0,56.91338,1442271,Nepal
0,0,56.82665,2324,Canada
0,0,56.79739,10442,New Zealand
10,0,56.58568,47778,Indonesia
2,0,56.57483,0,Indonesia
0,0,56.14398,0,Pakistan
11,0,56.12845,14182,India
0,0,56.06982,34274,New Zealand
3,4,55.79904,0,China
0,0,55.61095,0,Pakistan
0,0,55.60925,1651,New Zealand
0,0,55.57051,4163,Canada
0,0,55.37397,0,China
2,0,55.18512,0,China
0,0,1.5755,456456,Brazil
5,0,55.11378,0,Nepal
0,0,54.90196,6315,Nicaragua
