Mean Annual Temperature,Mean Annual Precipition,Annual Respiration,Country
-3.3,269,296,USA
-3.3,269,206,USA
-3.3,269,192,USA
-12.6,132,53,USA
-3.3,269,580,USA
-3.3,269,580,USA
-3.3,269,580,USA
-3.3,269,580,USA
-3.3,269,580,USA
-3.3,269,580,USA
-3.5,375,431,USA
-3.5,375,378,USA
-3.5,375,407,USA
-3.3,270,213,USA
-3.5,280,144,USA
-3.5,280,127,USA
-3.5,280,76,USA
3,463,711,Canada
3,463,698,Canada
3,463,707,Canada
15.5,450,1207,Spain
15.5,450,1347,Spain
15.5,450,1437,Spain
15.5,450,1294,Spain
15.5,450,1725,Spain
15.5,450,1384,Spain
15.5,450,1299,Spain
15.5,450,927,Spain
15.5,450,1265,Spain
15.5,450,1104,Spain
15.5,450,1157,Spain
15.5,450,715,Spain
15.5,450,954,Spain
15.5,450,770,Spain
26.5,2200,2441,Brazil
26.7,2300,984,Brazil
26.7,2300,1211,Brazil
26.7,2300,1438,Brazil
26,3500,455,Venezuala
26,3500,369,Venezuala
18,220,416,Spain
18,220,303,Spain
8.5,310,249,USA
7.9,350,265,USA
7.1,410,294,USA
6.3,450,350,USA
5.5,530,440,USA
22.6,450,185,USA
22.6,450,306,USA
22.6,450,688,USA
22.6,450,1190,USA
7.5,567,565,USA
7.5,567,440,USA
7.5,567,569,USA
7.5,567,511,USA
7.5,567,476,USA
7.5,567,636,USA
7.5,567,414,USA
7.5,567,487,USA
7.5,567,582,USA
7.5,567,436,USA
7.5,567,476,USA
7.5,567,613,USA
17.8,564,742,USA
25.3,1040,1960,Brazil
25.3,1040,2310,Brazil
25.3,1040,1260,Brazil
25.3,1040,1410,Brazil
6.3,1020,567,Germany
6.3,1020,463,Germany
6.3,1020,450,Germany
6.3,1020,433,Germany
6.3,1020,365,Germany
6.3,1020,307,Germany
6.3,1020,212,Germany
6.3,1020,216,Germany
8,789,758,Germany
8,789,652,Germany
8,789,672,Germany
8,789,643,Germany
7.7,992,551,Germany
7.7,992,619,Germany
7.7,992,519,Germany
6.1,949,514,Germany
6.1,949,542,Germany
6.1,949,582,Germany
6.1,949,487,Germany
6.2,982,717,Germany
6.2,982,658,Germany
6.2,982,683,Germany
6.2,982,618,Germany
8.2,847,622,Germany
8.2,847,715,Germany
8.2,847,690,Germany
5.5,1357,547,Germany
7.9,699,704,Germany
7.9,699,615,Germany
7.9,699,548,Germany
7.9,699,560,Germany
27,2700,2265,Malaysia
8.6,1452,2210,Canada
8.6,1452,1350,Canada
8.6,1452,2200,Canada
8.6,1452,2600,Canada
8.6,1452,1900,Canada
8.6,1452,1260,Canada
8.6,1450,932,Canada
8.6,1450,1016,Canada
8.6,1450,994,Canada
8.6,1452,1200,Canada
8.6,1450,869,Canada
8.6,1450,928,Canada
8.6,1450,836,Canada
8.6,1450,826,Canada
8.6,1450,666,Canada
8.6,1450,770,Canada
8.6,1470,938,Canada
8.6,1470,963,Canada
8.6,1470,990,Canada
8.6,1470,968,Canada
8.6,1470,928,Canada
8.6,1470,826,Canada
8.6,1470,890,Canada
9.6,1610,1666,Canada
9.6,1610,1638,Canada
9.6,1610,1326,Canada
9.6,1610,1186,Canada
11.9,1660,1446,USA
18,1000,478,USA
18,1000,796,USA
18,1000,647,USA
11.9,1660,1446,USA
17.8,31,1560,USA
17.8,31,1400,USA
16,750,1011,USA
16,750,1170,USA
16,750,1480,USA
16,750,1568,USA
16,750,918,USA
16,750,1012,USA
16,750,887,USA
16,750,950,USA
22,500,44,USA
22,500,15,USA
22,500,16,USA
16.3,559,488,USA
14.3,826,1576,USA
5.9,586,367,USA
9.8,750,462,Belgium
9.8,750,500,Belgium
9.4,824,1110,Ireland
9.4,824,1240,Ireland
9.4,824,1230,Ireland
25.5,2092,1110,Indonesia
25.5,2092,1050,Indonesia
8.9,385,2777,USA
8.9,385,800,USA
7.5,950,213,United Kingdom
7.5,950,608,United Kingdom
7.5,950,709,United Kingdom
7.5,950,1522,United Kingdom
7.5,950,275,United Kingdom
7.5,950,371,United Kingdom
7.5,950,646,United Kingdom
7.5,950,903,United Kingdom
15.1,788,855,USA
