A,B,C,D,E,F,G,H,TEST
0,1,0,2,0,3,0,0,test
1,2,1,3,1,4,1,1,test
2,3,2,4,2,5,2,2,test
3,4,3,5,3,6,3,3,test
4,5,4,6,4,7,4,4,test
5,6,5,7,5,8,5,5,test
6,7,6,8,6,9,6,6,test
7,8,7,9,7,10,7,7,test
8,9,8,10,8,11,8,8,test
9,10,9,11,9,12,9,9,test
10,11,10,12,10,13,10,10,test
11,12,11,13,11,14,11,11,test
12,13,12,14,12,15,12,12,test
13,14,13,15,13,16,13,13,test
14,15,14,16,14,17,14,14,test
15,16,15,17,15,18,15,15,test
16,17,16,18,16,19,16,16,test
17,18,17,19,17,20,17,17,test
18,19,18,20,18,21,18,18,test
19,20,19,21,19,22,19,19,test
20,21,20,22,20,23,20,20,test
21,22,21,23,21,24,21,21,test
22,23,22,24,22,25,22,22,test
23,24,23,25,23,26,23,23,test
24,25,24,26,24,27,24,24,test
25,26,25,27,25,28,25,25,test
26,27,26,28,26,29,26,26,test
27,28,27,29,27,30,27,27,test
28,29,28,30,28,31,28,28,test
29,30,29,31,29,32,29,29,test
